Epoch 0 | Loss: 5.1590 | Output: 'hfhfhfhfhfhfhfhfhfhfhfhfhfhfhf'
Epoch 26 | Loss: 5.1116 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 27 | Loss: 5.1116 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 28 | Loss: 5.1117 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 29 | Loss: 5.1114 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 30 | Loss: 5.1113 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 31 | Loss: 5.1110 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 32 | Loss: 5.1120 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 33 | Loss: 5.1110 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 34 | Loss: 5.1110 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 35 | Loss: 5.1110 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 36 | Loss: 5.1110 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 37 | Loss: 5.1113 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 38 | Loss: 5.1103 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 39 | Loss: 5.1103 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 40 | Loss: 5.1108 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 41 | Loss: 5.1105 | Output: 'oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo'
Epoch 42 | Loss: 5.1104 | Output: '                                                            '
Epoch 43 | Loss: 5.1103 | Output: '                                                            '
Epoch 44 | Loss: 5.1106 | Output: '                                                            '
Epoch 45 | Loss: 5.1102 | Output: '                                                            '
Epoch 46 | Loss: 5.1097 | Output: '                                                            '
Epoch 47 | Loss: 5.1102 | Output: '                                                            '
Epoch 48 | Loss: 5.1098 | Output: '                                                            '
Epoch 49 | Loss: 5.1096 | Output: '                                                            '
Epoch 50 | Loss: 5.1102 | Output: '                                                            '
Epoch 51 | Loss: 5.1093 | Output: '                                                            '
Epoch 52 | Loss: 5.1105 | Output: '                                                            '
Epoch 53 | Loss: 5.1093 | Output: '                                                            '
Epoch 54 | Loss: 5.1105 | Output: '                                                            '
Epoch 55 | Loss: 5.1097 | Output: '                                                            '
Epoch 56 | Loss: 5.1095 | Output: '                                                            '
Epoch 57 | Loss: 5.1094 | Output: '                                                            '
Epoch 58 | Loss: 5.1101 | Output: '                                                            '
Epoch 59 | Loss: 5.1096 | Output: '                                                            '
Epoch 60 | Loss: 5.1101 | Output: '                                                            '
Epoch 61 | Loss: 5.1096 | Output: '                                                            '
Epoch 62 | Loss: 5.1095 | Output: '                                                            '
Epoch 63 | Loss: 5.1101 | Output: '                                                            '
Epoch 64 | Loss: 5.1094 | Output: '                                                            '
Epoch 65 | Loss: 5.1088 | Output: '                                                            '
Epoch 66 | Loss: 5.1094 | Output: '                                                            '
Epoch 67 | Loss: 5.1088 | Output: '                                                            '
Epoch 68 | Loss: 5.1094 | Output: '                                                            '
Epoch 69 | Loss: 5.1087 | Output: '                                                            '
Epoch 70 | Loss: 5.1101 | Output: '                                                            '
Epoch 71 | Loss: 5.1088 | Output: '                                                            '
Epoch 72 | Loss: 5.1094 | Output: '                                                            '
Epoch 73 | Loss: 5.1087 | Output: '                                                            '
Epoch 74 | Loss: 5.1089 | Output: '                                                            '
Epoch 0 | Loss: 5.1082 | Output: '                                                            '
Epoch 1 | Loss: 5.1088 | Output: '                                                            '
Epoch 2 | Loss: 5.1088 | Output: '                                                            '
Epoch 3 | Loss: 5.1087 | Output: '                                                            '
Epoch 4 | Loss: 5.1091 | Output: '                                                            '
Epoch 5 | Loss: 5.1087 | Output: '                                                            '
Epoch 6 | Loss: 5.1092 | Output: '                                                            '
Epoch 7 | Loss: 5.1091 | Output: '                                                            '
Epoch 8 | Loss: 5.1091 | Output: '                                                            '
Epoch 9 | Loss: 5.1091 | Output: '                                                            '
Epoch 10 | Loss: 5.1090 | Output: '                                                            '
Epoch 11 | Loss: 5.1087 | Output: '                                                            '
Epoch 12 | Loss: 5.1088 | Output: '                                                            '
Epoch 13 | Loss: 5.1086 | Output: '                                                            '
Epoch 14 | Loss: 5.1088 | Output: '                                                            '
Epoch 15 | Loss: 5.1086 | Output: '                                                            '
Epoch 16 | Loss: 5.1088 | Output: '                                                            '
Epoch 17 | Loss: 5.1086 | Output: '                                                            '
Epoch 18 | Loss: 5.1084 | Output: '                                                            '
Epoch 19 | Loss: 5.1085 | Output: '                                                            '
Epoch 20 | Loss: 5.1084 | Output: '                                                            '
Epoch 21 | Loss: 5.1088 | Output: '                                                            '
Epoch 22 | Loss: 5.1086 | Output: '                                                            '
Epoch 23 | Loss: 5.1085 | Output: '                                                            '
Epoch 24 | Loss: 5.1084 | Output: '                                                            '
Epoch 25 | Loss: 5.1084 | Output: '                                                            '
Epoch 26 | Loss: 5.1084 | Output: '                                                            '
Epoch 27 | Loss: 5.1084 | Output: '                                                            '
Epoch 28 | Loss: 5.1084 | Output: '                                                            '
Epoch 29 | Loss: 5.1084 | Output: '                                                            '
Epoch 30 | Loss: 5.1085 | Output: '                                                            '
Epoch 31 | Loss: 5.1082 | Output: '                                                            '
Epoch 32 | Loss: 5.1081 | Output: '                                                            '
Epoch 33 | Loss: 5.1081 | Output: '                                                            '
Epoch 34 | Loss: 5.1081 | Output: '                                                            '
Epoch 35 | Loss: 5.1081 | Output: '                                                            '
Epoch 36 | Loss: 5.1081 | Output: '                                                            '
Epoch 37 | Loss: 5.1081 | Output: '                                                            '
Epoch 38 | Loss: 5.1081 | Output: '                                                            '
Epoch 39 | Loss: 5.1081 | Output: '                                                            '
Epoch 40 | Loss: 5.1080 | Output: '                                                            '
Epoch 41 | Loss: 5.1080 | Output: '                                                            '
Epoch 42 | Loss: 5.1080 | Output: '                                                            '
Epoch 43 | Loss: 5.1080 | Output: '                                                            '
Epoch 44 | Loss: 5.1080 | Output: '                                                            '
Epoch 45 | Loss: 5.1080 | Output: '                                                            '
Epoch 46 | Loss: 5.1082 | Output: '                                                            '
Epoch 47 | Loss: 5.1080 | Output: '                                                            '
Epoch 48 | Loss: 5.1082 | Output: '                                                            '
Epoch 49 | Loss: 5.1080 | Output: '                                                            '
Epoch 50 | Loss: 5.1081 | Output: '                                                            '
Epoch 51 | Loss: 5.1079 | Output: '                                                            '
Epoch 52 | Loss: 5.1079 | Output: '                                                            '
Epoch 53 | Loss: 5.1080 | Output: '                                                            '
Epoch 54 | Loss: 5.1080 | Output: '                                                            '
Epoch 55 | Loss: 5.1080 | Output: '                                                            '
Epoch 56 | Loss: 5.1079 | Output: '                                                            '
Epoch 57 | Loss: 5.1078 | Output: '                                                            '
Epoch 58 | Loss: 5.1078 | Output: '                                                            '
Epoch 59 | Loss: 5.1078 | Output: '                                                            '
Epoch 60 | Loss: 5.1078 | Output: '                                                            '
Epoch 61 | Loss: 5.1078 | Output: '                                                            '
Epoch 62 | Loss: 5.1078 | Output: '                                                            '
Epoch 63 | Loss: 5.1078 | Output: '                                                            '
Epoch 64 | Loss: 5.1078 | Output: '                                                            '
Epoch 65 | Loss: 5.1078 | Output: '                                                            '
Epoch 66 | Loss: 5.1078 | Output: '                                                            '
Epoch 67 | Loss: 5.1078 | Output: '                                                            '
Epoch 68 | Loss: 5.1078 | Output: '                                                            '
Epoch 69 | Loss: 5.1078 | Output: '                                                            '
Epoch 70 | Loss: 5.1077 | Output: '                                                            '
Epoch 71 | Loss: 5.1077 | Output: '                                                            '
Epoch 72 | Loss: 5.1077 | Output: '                                                            '
Epoch 73 | Loss: 5.1077 | Output: '                                                            '
Epoch 74 | Loss: 5.1077 | Output: '                                                            '
Epoch 75 | Loss: 5.1077 | Output: '                                                            '
Epoch 76 | Loss: 5.1077 | Output: '                                                            '
Epoch 77 | Loss: 5.1077 | Output: '                                                            '
Epoch 78 | Loss: 5.1077 | Output: '                                                            '
Epoch 79 | Loss: 5.1077 | Output: '                                                            '
Epoch 80 | Loss: 5.1077 | Output: '                                                            '
Epoch 81 | Loss: 5.1077 | Output: '                                                            '
Epoch 82 | Loss: 5.1076 | Output: '                                                            '
Epoch 83 | Loss: 5.1076 | Output: '                                                            '
Epoch 84 | Loss: 5.1076 | Output: '                                                            '
Epoch 85 | Loss: 5.1076 | Output: '                                                            '
Epoch 86 | Loss: 5.1076 | Output: '                                                            '
Epoch 87 | Loss: 5.1076 | Output: '                                                            '
Epoch 88 | Loss: 5.1076 | Output: '                                                            '
Epoch 89 | Loss: 5.1076 | Output: '                                                            '
Epoch 90 | Loss: 5.1076 | Output: '                                                            '
Epoch 91 | Loss: 5.1076 | Output: '                                                            '
Epoch 92 | Loss: 5.1074 | Output: '                                                            '
Epoch 93 | Loss: 5.1074 | Output: '                                                            '
Epoch 94 | Loss: 5.1074 | Output: '                                                            '
Epoch 95 | Loss: 5.1074 | Output: '                                                            '
Epoch 96 | Loss: 5.1074 | Output: '                                                            '
Epoch 97 | Loss: 5.1074 | Output: '                                                            '
Epoch 98 | Loss: 5.1074 | Output: '                                                            '
Epoch 99 | Loss: 5.1074 | Output: '                                                            '
Epoch 100 | Loss: 5.1070 | Output: '                                                            '
Epoch 101 | Loss: 5.1070 | Output: '                                                            '
Epoch 102 | Loss: 5.1070 | Output: '                                                            '
Epoch 103 | Loss: 5.1070 | Output: '                                                            '
Epoch 104 | Loss: 5.1070 | Output: '                                                            '
Epoch 105 | Loss: 5.1070 | Output: '                                                            '
Epoch 106 | Loss: 5.1070 | Output: '                                                            '
Epoch 107 | Loss: 5.1070 | Output: '                                                            '
Epoch 108 | Loss: 5.1071 | Output: '                                                            '
Epoch 109 | Loss: 5.1071 | Output: '                                                            '
Epoch 110 | Loss: 5.1070 | Output: '                                                            '
Epoch 111 | Loss: 5.1070 | Output: '                                                            '
Epoch 112 | Loss: 5.1070 | Output: '                                                            '
Epoch 113 | Loss: 5.1070 | Output: '                                                            '
Epoch 114 | Loss: 5.1070 | Output: '                                                            '
Epoch 115 | Loss: 5.1070 | Output: '                                                            '
Epoch 116 | Loss: 5.1069 | Output: '                                                            '
Epoch 117 | Loss: 5.1069 | Output: '                                                            '
Epoch 118 | Loss: 5.1069 | Output: '                                                            '
Epoch 119 | Loss: 5.1069 | Output: '                                                            '
Epoch 120 | Loss: 5.1069 | Output: '                                                            '
Epoch 121 | Loss: 5.1069 | Output: '                                                            '
Epoch 122 | Loss: 5.1068 | Output: '                                                            '
Epoch 123 | Loss: 5.1068 | Output: '                                                            '
Epoch 124 | Loss: 5.1068 | Output: '                                                            '
Epoch 125 | Loss: 5.1067 | Output: '                                                            '
Epoch 126 | Loss: 5.1067 | Output: '                                                            '
Epoch 127 | Loss: 5.1067 | Output: '                                                            '
Epoch 128 | Loss: 5.1066 | Output: '                                                            '
Epoch 129 | Loss: 5.1066 | Output: '                                                            '
Epoch 130 | Loss: 5.1067 | Output: '                                                            '
Epoch 131 | Loss: 5.1066 | Output: '                                                            '
Epoch 132 | Loss: 5.1066 | Output: '                                                            '
Epoch 133 | Loss: 5.1067 | Output: '                                                            '
Epoch 134 | Loss: 5.1066 | Output: '                                                            '
Epoch 135 | Loss: 5.1066 | Output: '                                                            '
Epoch 136 | Loss: 5.1066 | Output: '                                                            '
Epoch 137 | Loss: 5.1067 | Output: '                                                            '
Epoch 138 | Loss: 5.1065 | Output: '                                                            '
Epoch 139 | Loss: 5.1067 | Output: '                                                            '
Epoch 140 | Loss: 5.1066 | Output: '                                                            '
Epoch 141 | Loss: 5.1067 | Output: '                                                            '
Epoch 142 | Loss: 5.1067 | Output: '                                                            '
Epoch 143 | Loss: 5.1067 | Output: '                                                            '
Epoch 144 | Loss: 5.1067 | Output: '                                                            '
Epoch 145 | Loss: 5.1067 | Output: '                                                            '
Epoch 146 | Loss: 5.1066 | Output: '                                                            '
Epoch 147 | Loss: 5.1066 | Output: '                                                            '
Epoch 148 | Loss: 5.1066 | Output: '                                                            '
Epoch 149 | Loss: 5.1065 | Output: '                                                            '
Epoch 150 | Loss: 5.1064 | Output: '                                                            '
Epoch 151 | Loss: 5.1067 | Output: '                                                            '
Epoch 152 | Loss: 5.1066 | Output: '                                                            '
Epoch 153 | Loss: 5.1065 | Output: '                                                            '
Epoch 154 | Loss: 5.1065 | Output: '                                                            '
Epoch 155 | Loss: 5.1065 | Output: '                                                            '
Epoch 156 | Loss: 5.1065 | Output: '                                                            '
Epoch 157 | Loss: 5.1065 | Output: '                                                            '
Epoch 158 | Loss: 5.1066 | Output: '                                                            '
Epoch 159 | Loss: 5.1065 | Output: '                                                            '
Epoch 160 | Loss: 5.1065 | Output: '                                                            '
Epoch 161 | Loss: 5.1065 | Output: '                                                            '
Epoch 162 | Loss: 5.1064 | Output: '                                                            '
Epoch 163 | Loss: 5.1064 | Output: '                                                            '
Epoch 164 | Loss: 5.1064 | Output: '                                                            '
Epoch 165 | Loss: 5.1064 | Output: '                                                            '
Epoch 166 | Loss: 5.1064 | Output: '                                                            '
Epoch 167 | Loss: 5.1064 | Output: '                                                            '
Epoch 168 | Loss: 5.1064 | Output: '                                                            '
Epoch 169 | Loss: 5.1063 | Output: '                                                            '
Epoch 170 | Loss: 5.1064 | Output: '                                                            '
Epoch 171 | Loss: 5.1063 | Output: '                                                            '
Epoch 172 | Loss: 5.1063 | Output: '                                                            '
Epoch 173 | Loss: 5.1063 | Output: '                                                            '
Epoch 174 | Loss: 5.1063 | Output: '                                                            '
Epoch 175 | Loss: 5.1063 | Output: '                                                            '
Epoch 176 | Loss: 5.1063 | Output: '                                                            '
Epoch 177 | Loss: 5.1063 | Output: '                                                            '
Epoch 178 | Loss: 5.1063 | Output: '                                                            '
Epoch 179 | Loss: 5.1063 | Output: '                                                            '
Epoch 180 | Loss: 5.1063 | Output: '                                                            '
Epoch 181 | Loss: 5.1063 | Output: '                                                            '
Epoch 182 | Loss: 5.1062 | Output: '                                                            '
Epoch 183 | Loss: 5.1062 | Output: '                                                            '
Epoch 184 | Loss: 5.1061 | Output: '                                                            '
Epoch 185 | Loss: 5.1061 | Output: '                                                            '
Epoch 186 | Loss: 5.1061 | Output: '                                                            '
Epoch 187 | Loss: 5.1061 | Output: '                                                            '
Epoch 188 | Loss: 5.1061 | Output: '                                                            '
Epoch 189 | Loss: 5.1061 | Output: '                                                            '
Epoch 190 | Loss: 5.1061 | Output: '                                                            '
Epoch 191 | Loss: 5.1061 | Output: '                                                            '
Epoch 192 | Loss: 5.1060 | Output: '                                                            '
Epoch 193 | Loss: 5.1060 | Output: '                                                            '
Epoch 194 | Loss: 5.1060 | Output: '                                                            '
Epoch 195 | Loss: 5.1060 | Output: '                                                            '
Epoch 196 | Loss: 5.1060 | Output: '                                                            '
Epoch 197 | Loss: 5.1059 | Output: '                                                            '
Epoch 198 | Loss: 5.1059 | Output: '                                                            '
Epoch 199 | Loss: 5.1059 | Output: '                                                            '
Epoch 200 | Loss: 5.1058 | Output: '                                                            '
Epoch 201 | Loss: 5.1058 | Output: '                                                            '
Epoch 202 | Loss: 5.1058 | Output: '                                                            '
Epoch 203 | Loss: 5.1058 | Output: '                                                            '
Epoch 204 | Loss: 5.1058 | Output: '                                                            '
Epoch 205 | Loss: 5.1057 | Output: '                                                            '
Epoch 206 | Loss: 5.1057 | Output: '                                                            '
Epoch 207 | Loss: 5.1057 | Output: '                                                            '
Epoch 208 | Loss: 5.1057 | Output: '                                                            '
Epoch 209 | Loss: 5.1057 | Output: '                                                            '
Epoch 210 | Loss: 5.1056 | Output: '                                                            '
Epoch 211 | Loss: 5.1056 | Output: '                                                            '
Epoch 212 | Loss: 5.1056 | Output: '                                                            '
Epoch 213 | Loss: 5.1057 | Output: '                                                            '
Epoch 214 | Loss: 5.1056 | Output: '                                                            '
Epoch 215 | Loss: 5.1056 | Output: '                                                            '
Epoch 216 | Loss: 5.1056 | Output: '                                                            '
Epoch 217 | Loss: 5.1056 | Output: '                                                            '
Epoch 218 | Loss: 5.1056 | Output: '                                                            '
Epoch 219 | Loss: 5.1056 | Output: '                                                            '
Epoch 220 | Loss: 5.1056 | Output: '                                                            '
Epoch 221 | Loss: 5.1056 | Output: '                                                            '
Epoch 222 | Loss: 5.1055 | Output: '                                                            '
Epoch 223 | Loss: 5.1054 | Output: '                                                            '
Epoch 224 | Loss: 5.1054 | Output: '                                                            '
Epoch 225 | Loss: 5.1053 | Output: '                                                            '
Epoch 226 | Loss: 5.1053 | Output: '                                                            '
Epoch 227 | Loss: 5.1053 | Output: '                                                            '
Epoch 228 | Loss: 5.1053 | Output: '                                                            '
Epoch 229 | Loss: 5.1052 | Output: '                                                            '
Epoch 230 | Loss: 5.1052 | Output: '                                                            '
Epoch 231 | Loss: 5.1051 | Output: '                                                            '
Epoch 232 | Loss: 5.1051 | Output: '                                                            '
Epoch 233 | Loss: 5.1050 | Output: '                                                            '
Epoch 234 | Loss: 5.1049 | Output: '                                                            '
Epoch 235 | Loss: 5.1049 | Output: '                                                            '
Epoch 236 | Loss: 5.1048 | Output: '                                                            '
Epoch 237 | Loss: 5.1048 | Output: '                                                            '
Epoch 238 | Loss: 5.1047 | Output: '                                                            '
Epoch 239 | Loss: 5.1046 | Output: '                                                            '
Epoch 240 | Loss: 5.1046 | Output: '                                                            '
Epoch 241 | Loss: 5.1047 | Output: '                                                            '
Epoch 242 | Loss: 5.1046 | Output: '                                                            '
Epoch 243 | Loss: 5.1046 | Output: '                                                            '
Epoch 244 | Loss: 5.1045 | Output: '                                                            '
Epoch 245 | Loss: 5.1045 | Output: '                                                            '
Epoch 246 | Loss: 5.1043 | Output: '                                                            '
Epoch 247 | Loss: 5.1042 | Output: '                                                            '
Epoch 248 | Loss: 5.1042 | Output: '                                                            '
Epoch 249 | Loss: 5.1041 | Output: '                                                            '
Epoch 250 | Loss: 5.1038 | Output: '                                                            '
Epoch 251 | Loss: 5.1037 | Output: '                                                            '
Epoch 252 | Loss: 5.1035 | Output: '                                                            '
Epoch 253 | Loss: 5.1037 | Output: '                                                            '
Epoch 254 | Loss: 5.1035 | Output: '                                                            '
Epoch 255 | Loss: 5.1033 | Output: '                                                            '
Epoch 256 | Loss: 5.1031 | Output: '                                                            '
Epoch 257 | Loss: 5.1028 | Output: '                                                            '
Epoch 258 | Loss: 5.1025 | Output: '                                                            '
Epoch 259 | Loss: 5.1021 | Output: '                                                            '
Epoch 260 | Loss: 5.1017 | Output: '  e  e  e  e  e  e  e  e  e  e  e  e  e  e  e  e  e  e  e  e'
Epoch 261 | Loss: 5.1011 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 262 | Loss: 5.1007 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 263 | Loss: 5.1002 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 264 | Loss: 5.0998 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 265 | Loss: 5.0990 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 266 | Loss: 5.0985 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 267 | Loss: 5.0978 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 268 | Loss: 5.0970 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 269 | Loss: 5.0962 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 270 | Loss: 5.0954 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 271 | Loss: 5.0946 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 272 | Loss: 5.0938 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 273 | Loss: 5.0928 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 274 | Loss: 5.0917 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 275 | Loss: 5.0905 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 276 | Loss: 5.0891 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 277 | Loss: 5.0878 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 278 | Loss: 5.0865 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 279 | Loss: 5.0853 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 280 | Loss: 5.0840 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 281 | Loss: 5.0828 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 282 | Loss: 5.0815 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 283 | Loss: 5.0802 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 284 | Loss: 5.0790 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 285 | Loss: 5.0781 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 286 | Loss: 5.0770 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 287 | Loss: 5.0762 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 288 | Loss: 5.0752 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 289 | Loss: 5.0745 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 290 | Loss: 5.0737 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 291 | Loss: 5.0729 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 292 | Loss: 5.0722 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 293 | Loss: 5.0715 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 294 | Loss: 5.0708 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 295 | Loss: 5.0705 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 296 | Loss: 5.0701 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 297 | Loss: 5.0694 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 298 | Loss: 5.0690 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 299 | Loss: 5.0684 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 0 | Loss: 5.0679 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 1 | Loss: 5.0673 | Output: ' e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e'
Epoch 2 | Loss: 5.0664 | Output: ' e o e e o e e o e e o e e o e e o e e o e e o e e o e e o e'
Epoch 3 | Loss: 5.0658 | Output: ' e o e e o e e o e e o e e o e e o e e o e e o e e o e e o e'
Epoch 4 | Loss: 5.0655 | Output: ' e o e e o e e o e e o e e o e e o e e o e e o e e o e e o e'
Epoch 5 | Loss: 5.0650 | Output: ' e o e e o e e o e e o e e o e e o e e o e e o e e o e e o e'
Epoch 6 | Loss: 5.0643 | Output: ' e o e o e o e o e o e o e o e o e o e o e o e o e o e o e o'
Epoch 7 | Loss: 5.0638 | Output: ' e o e e o e e o e e o e e o e e o e e o e e o e e o e e o e'
Epoch 8 | Loss: 5.0633 | Output: ' e o e o e o e o e o e o e o e o e o e o e o e o e o e o e o'
Epoch 9 | Loss: 5.0631 | Output: ' e o e o e o e o e o e o e o e o e o e o e o e o e o e o e o'
Epoch 10 | Loss: 5.0625 | Output: ' e o e e o e e o e e o e e o e e o e e o e e o e e o e e o e'
Epoch 11 | Loss: 5.0620 | Output: ' e o e o e o e o e o e o e o e o e o e o e o e o e o e o e o'
Epoch 12 | Loss: 5.0616 | Output: ' e o e o e o e o e o e o e o e o e o e o e o e o e o e o e o'
